Filename: mp-559256.cif  Nd4S3NCl3  appeared: 3 times
Space Group: P6_3mc no. 186
Orientation Matrix:
9.46	0.00	0.00
-4.73	8.19	0.00
0.00	0.00	7.02
Atoms Locations:
Nd	[0.66666667 0.33333333 0.28656   ]
Nd	[0.202162 0.797838 0.25209 ]
Nd	[0.797838 0.595677 0.75209 ]
Nd	[0.797838 0.202162 0.75209 ]
Nd	[0.595677 0.797838 0.25209 ]
Nd	[0.33333333 0.66666667 0.78656   ]
Nd	[0.202162 0.404323 0.25209 ]
Nd	[0.404323 0.202162 0.75209 ]
S	[0.532587 0.467413 0.03037 ]
S	[0.532587 0.065174 0.03037 ]
S	[0.065174 0.532587 0.53037 ]
S	[0.934826 0.467413 0.03037 ]
S	[0.467413 0.934826 0.53037 ]
S	[0.467413 0.532587 0.53037 ]
N	[0.66666667 0.33333333 0.631013  ]
N	[0.33333333 0.66666667 0.131013  ]
Cl	[0.131325 0.262649 0.862485]
Cl	[0.737351 0.868675 0.862485]
Cl	[0.262649 0.131325 0.362485]
Cl	[0.868675 0.131325 0.362485]
Cl	[0.868675 0.737351 0.362485]
Cl	[0.131325 0.868675 0.862485]

